prefix,resource,organisation,reference,entity
special-area-of-conservation,,,UK0012549,14800000
special-area-of-conservation,,,UK0012550,14800001
special-area-of-conservation,,,UK0012552,14800002
special-area-of-conservation,,,UK0012553,14800003
special-area-of-conservation,,,UK0012557,14800004
special-area-of-conservation,,,UK0012559,14800005
special-area-of-conservation,,,UK0012570,14800006
special-area-of-conservation,,,UK0012584,14800007
special-area-of-conservation,,,UK0012585,14800008
special-area-of-conservation,,,UK0012586,14800009
special-area-of-conservation,,,UK0012587,14800010
special-area-of-conservation,,,UK0012599,14800011
special-area-of-conservation,,,UK0012602,14800012
special-area-of-conservation,,,UK0012604,14800013
special-area-of-conservation,,,UK0012642,14800014
special-area-of-conservation,,,UK0012643,14800015
special-area-of-conservation,,,UK0012646,14800016
special-area-of-conservation,,,UK0012647,14800017
special-area-of-conservation,,,UK0012650,14800018
special-area-of-conservation,,,UK0012658,14800019
special-area-of-conservation,,,UK0012672,14800020
special-area-of-conservation,,,UK0012679,14800021
special-area-of-conservation,,,UK0012681,14800022
special-area-of-conservation,,,UK0012683,14800023
special-area-of-conservation,,,UK0012691,14800024
special-area-of-conservation,,,UK0012715,14800025
special-area-of-conservation,,,UK0012716,14800026
special-area-of-conservation,,,UK0012720,14800027
special-area-of-conservation,,,UK0012723,14800028
special-area-of-conservation,,,UK0012724,14800029
special-area-of-conservation,,,UK0012727,14800030
special-area-of-conservation,,,UK0012734,14800031
special-area-of-conservation,,,UK0012735,14800032
special-area-of-conservation,,,UK0012740,14800033
special-area-of-conservation,,,UK0012741,14800034
special-area-of-conservation,,,UK0012745,14800035
special-area-of-conservation,,,UK0012749,14800036
special-area-of-conservation,,,UK0012767,14800037
special-area-of-conservation,,,UK0012768,14800038
special-area-of-conservation,,,UK0012770,14800039
special-area-of-conservation,,,UK0012782,14800040
special-area-of-conservation,,,UK0012789,14800041
special-area-of-conservation,,,UK0012793,14800042
special-area-of-conservation,,,UK0012795,14800043
special-area-of-conservation,,,UK0012799,14800044
special-area-of-conservation,,,UK0012801,14800045
special-area-of-conservation,,,UK0012804,14800046
special-area-of-conservation,,,UK0012809,14800047
special-area-of-conservation,,,UK0012810,14800048
special-area-of-conservation,,,UK0012816,14800049
special-area-of-conservation,,,UK0012817,14800050
special-area-of-conservation,,,UK0012826,14800051
special-area-of-conservation,,,UK0012831,14800052
special-area-of-conservation,,,UK0012832,14800053
special-area-of-conservation,,,UK0012833,14800054
special-area-of-conservation,,,UK0012834,14800055
special-area-of-conservation,,,UK0012835,14800056
special-area-of-conservation,,,UK0012836,14800057
